"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"REST Functional Test Suite","Add Employee","Groovy Script - Test Data","groovy","OK","","30-Oct-2020 13_31",
"REST Functional Test Suite","Add Employee","Method 1 - Request 1","restrequest","FAILED","Message:[Contains] Missing token [Employee added successfully] in Response
Message:[Response SLA] Response did not meet SLA 547/500
Message:[Script Assertion] No such property: respnse for class: Script2
","30-Oct-2020 13_31",
"REST Functional Test Suite","Get Employee","Groovy Script - Test Data","groovy","FAILED","Message:java.lang.ArrayIndexOutOfBoundsException: Index 4 out of bounds for length 4
Message:error at line: 31
","30-Oct-2020 13_31",
